               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045451,            0.065375,            0.016456,             0.66891,             0.60378,             0.68129,             0.44879,            0.041352,            0.037884,              0.0106,              0.0937,              0.0007,              0.0007
                   1,            0.043832,            0.061738,            0.017218,              0.7442,             0.62723,             0.72511,             0.48499,            0.040449,            0.036732,           0.0090761,            0.086485,           0.0014851,           0.0014851
                   2,            0.044759,            0.070138,            0.015995,             0.79848,             0.64663,             0.74928,             0.48603,            0.040202,            0.035837,           0.0080161,            0.079254,           0.0022545,           0.0022545
                   3,             0.04403,            0.062048,            0.013612,             0.80057,             0.65136,             0.76155,             0.50313,            0.040281,             0.03557,           0.0072811,            0.072008,           0.0030079,           0.0030079
                   4,            0.044548,            0.060822,             0.01325,             0.77408,             0.69465,             0.77669,             0.51266,            0.040028,            0.034834,           0.0066144,            0.064746,           0.0037456,           0.0037456
                   5,            0.045162,             0.05617,            0.013661,              0.7853,             0.70584,             0.79276,              0.4965,            0.042204,            0.033196,           0.0060455,            0.057467,           0.0044673,           0.0044673
                   6,            0.045326,            0.050438,            0.013305,             0.78086,             0.71768,             0.78543,             0.47219,            0.042962,            0.032937,            0.005785,            0.050173,           0.0051733,           0.0051733
                   7,            0.047694,            0.060086,            0.010289,              0.7869,               0.715,             0.79643,             0.49128,            0.042902,            0.032438,           0.0052465,            0.042863,           0.0058634,           0.0058634
                   8,            0.047802,            0.058328,            0.012391,             0.75404,              0.7336,             0.80046,              0.4769,            0.045345,            0.032504,           0.0049924,            0.035538,           0.0065377,           0.0065377
                   9,            0.046291,            0.054857,            0.010053,             0.72216,             0.77952,             0.79108,             0.50402,            0.043786,            0.031794,           0.0048794,            0.028196,           0.0071961,           0.0071961
                  10,            0.048312,            0.062232,            0.010194,             0.70879,             0.78533,             0.80025,             0.48562,            0.046723,            0.030684,           0.0047585,            0.020839,           0.0078387,           0.0078387
                  11,             0.04774,            0.055147,           0.0098806,             0.80045,             0.74433,             0.80129,             0.49294,            0.044796,            0.030204,           0.0047576,            0.013465,           0.0084655,           0.0084655
                  12,             0.04731,            0.049624,            0.011762,             0.81917,              0.7532,              0.8113,             0.50726,            0.045181,            0.029386,            0.004494,            0.008812,            0.008812,            0.008812
                  13,            0.046967,            0.055279,            0.011126,              0.8185,             0.76245,             0.81163,             0.51412,            0.044614,             0.02923,           0.0046136,            0.008812,            0.008812,            0.008812
                  14,            0.045083,            0.048452,           0.0098387,             0.83783,             0.75331,             0.82047,             0.52898,            0.043204,            0.028907,           0.0045263,            0.008713,            0.008713,            0.008713
