               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12283,            0.094675,            0.068426,           0.0042198,             0.17956,           0.0041682,          0.00094704,               0.115,             0.23102,            0.067621,            0.070698,           0.0032558,           0.0032558
                   1,             0.11289,             0.11886,            0.066524,            0.010012,             0.38646,            0.016099,           0.0043236,             0.10098,              0.2554,            0.066144,            0.040676,           0.0065674,           0.0065674
                   2,              0.1038,              0.1311,            0.064618,             0.12042,            0.054444,            0.023129,           0.0064048,             0.10178,             0.28237,            0.067099,            0.010632,            0.009857,            0.009857
                   3,             0.10133,             0.11477,            0.062925,            0.031919,             0.27515,            0.038155,            0.010142,            0.096294,             0.27888,            0.064551,            0.009901,            0.009901,            0.009901
                   4,             0.10097,             0.11393,            0.060871,            0.018988,             0.63253,             0.04063,           0.0092254,            0.092518,             0.20906,            0.060483,            0.009901,            0.009901,            0.009901
                   5,            0.099471,             0.10741,             0.05905,            0.017063,             0.33769,            0.027475,           0.0071062,            0.097754,             0.24106,            0.058804,            0.009868,            0.009868,            0.009868
                   6,            0.095522,             0.10293,            0.058611,            0.070712,             0.34303,            0.080931,            0.029191,            0.087855,             0.20093,            0.057712,            0.009835,            0.009835,            0.009835
                   7,            0.095767,            0.096454,            0.057324,            0.015842,             0.48468,            0.028939,           0.0058506,            0.090318,             0.20295,            0.055521,            0.009802,            0.009802,            0.009802
                   8,            0.093021,            0.095885,             0.05566,             0.43951,             0.18023,            0.092112,            0.027079,            0.090685,             0.17634,            0.054884,            0.009769,            0.009769,            0.009769
                   9,            0.084719,            0.099944,            0.055993,             0.35696,             0.29387,             0.10784,            0.039281,            0.072062,             0.19888,            0.054475,            0.009736,            0.009736,            0.009736
                  10,            0.085841,            0.096883,            0.055751,             0.44087,             0.14777,            0.060234,            0.019174,            0.091169,             0.20021,            0.054424,            0.009703,            0.009703,            0.009703
                  11,            0.085534,            0.098752,            0.054681,               0.371,             0.17602,             0.17918,            0.057332,            0.066526,             0.19483,            0.053911,             0.00967,             0.00967,             0.00967
                  12,            0.072575,             0.10131,            0.053403,            0.048402,             0.78474,             0.14283,            0.053684,            0.074169,             0.18356,            0.053284,            0.009637,            0.009637,            0.009637
                  13,            0.082667,            0.091485,            0.053935,             0.23355,             0.40955,             0.11407,            0.029619,            0.081823,             0.18109,            0.053036,            0.009604,            0.009604,            0.009604
