               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12322,             0.10392,            0.068144,           0.0095459,             0.35255,            0.014019,           0.0029964,             0.11439,             0.22318,            0.068283,            0.070588,            0.003268,            0.003268
                   1,             0.10857,             0.13837,            0.066474,            0.028398,            0.071997,            0.033169,           0.0096355,            0.098579,             0.25566,               0.066,            0.040572,            0.006585,            0.006585
                   2,              0.0977,             0.13563,            0.064955,            0.042001,             0.23124,            0.047611,            0.014193,            0.089409,             0.31747,            0.065094,            0.010539,           0.0098855,           0.0098855
                   3,            0.099717,             0.12572,            0.063038,             0.03413,             0.26785,            0.050689,            0.016056,              0.1013,             0.26148,            0.062781,           0.0099258,           0.0099258,           0.0099258
                   4,              0.1023,             0.11011,            0.061463,             0.01836,            0.099213,            0.023666,           0.0058027,            0.089598,             0.24242,            0.059048,           0.0099258,           0.0099258,           0.0099258
                   5,            0.093661,             0.11707,            0.059952,            0.033902,             0.72594,            0.081159,            0.022966,             0.08205,             0.22888,            0.058066,            0.009901,            0.009901,            0.009901
                   6,            0.087915,             0.10934,            0.058907,            0.035556,             0.31301,            0.080265,            0.023956,            0.085061,             0.22772,            0.056532,           0.0098763,           0.0098763,           0.0098763
                   7,             0.09255,            0.099916,            0.057544,             0.16348,             0.24952,            0.087445,            0.030221,            0.089455,             0.17729,            0.055336,           0.0098515,           0.0098515,           0.0098515
                   8,            0.093314,            0.095986,            0.057395,             0.15883,             0.28909,             0.10156,             0.03508,            0.086827,             0.17747,            0.054971,           0.0098268,           0.0098268,           0.0098268
                   9,            0.088349,             0.09859,             0.05654,             0.35833,             0.24998,             0.11567,            0.046397,            0.081376,             0.17567,            0.054175,            0.009802,            0.009802,            0.009802
                  10,            0.085923,             0.10146,            0.056098,             0.24642,             0.35136,             0.10091,            0.045475,            0.080094,             0.17988,            0.053825,           0.0097773,           0.0097773,           0.0097773
                  11,            0.080824,             0.10716,            0.056571,             0.56573,             0.27648,              0.1672,            0.066852,            0.075957,              0.2179,            0.053474,           0.0097525,           0.0097525,           0.0097525
                  12,             0.07754,             0.11217,            0.056132,             0.52537,             0.32155,             0.20147,            0.073696,            0.059974,             0.18521,            0.053279,           0.0097278,           0.0097278,           0.0097278
                  13,            0.069757,             0.10835,            0.055158,             0.45525,             0.43172,             0.17741,            0.066847,            0.067033,             0.18547,            0.053268,            0.009703,            0.009703,            0.009703
                  14,            0.071504,             0.10202,            0.055708,             0.59836,             0.40253,              0.2524,             0.10905,            0.071587,             0.18084,            0.052652,           0.0096783,           0.0096783,           0.0096783
                  15,            0.071788,             0.10288,            0.055135,              0.6068,             0.34132,             0.29913,             0.13172,            0.056759,             0.18537,            0.052669,           0.0096535,           0.0096535,           0.0096535
                  16,            0.065173,             0.10659,            0.054496,             0.64331,             0.28732,                0.28,             0.12674,            0.065344,             0.18787,            0.052452,           0.0096288,           0.0096288,           0.0096288
                  17,            0.065399,             0.10608,            0.054212,             0.63208,              0.2782,             0.30421,              0.1354,            0.054928,             0.18232,            0.052174,            0.009604,            0.009604,            0.009604
                  18,            0.065369,             0.10802,            0.055072,             0.62349,             0.31299,             0.31033,             0.13102,            0.049946,             0.19152,            0.052115,           0.0095793,           0.0095793,           0.0095793
                  19,            0.062381,             0.11121,            0.054557,             0.64468,             0.29656,             0.29129,             0.13365,            0.046862,             0.19062,               0.052,           0.0095545,           0.0095545,           0.0095545
                  20,            0.056372,             0.11244,            0.053919,             0.64987,             0.32778,             0.32269,             0.13518,            0.048498,             0.20346,            0.051431,           0.0095298,           0.0095298,           0.0095298
                  21,            0.055232,              0.1135,            0.054488,             0.67234,             0.31514,             0.32474,             0.13296,            0.050454,             0.20474,             0.05163,            0.009505,            0.009505,            0.009505
                  22,            0.055702,             0.10485,            0.053916,             0.64474,             0.30585,             0.31403,             0.14192,            0.044981,             0.17747,            0.051126,           0.0094803,           0.0094803,           0.0094803
                  23,            0.055669,             0.10238,            0.053637,             0.62515,             0.29623,              0.3221,             0.13178,             0.04928,             0.18367,             0.05047,           0.0094555,           0.0094555,           0.0094555
                  24,            0.058426,             0.10569,            0.053399,             0.45588,             0.48455,             0.28674,             0.13542,            0.059064,             0.18138,            0.049614,           0.0094307,           0.0094307,           0.0094307
                  25,            0.059466,             0.10256,            0.052373,               0.678,              0.2909,             0.37105,             0.16685,            0.043832,              0.1778,            0.049738,            0.009406,            0.009406,            0.009406
